period,permit,start,sale,done
2024-08,420,330,262,231
2024-09,438,342,271,241
2024-10,451,352,280,248
2024-11,447,349,277,246
2024-12,463,361,287,255
2025-01,470,367,291,259
2025-02,482,376,299,265
2025-03,495,386,307,272
2025-04,503,392,312,277
2025-05,511,399,317,281
2025-06,528,412,327,290
2025-07,540,421,335,297
2025-08,556,434,345,306
2025-09,571,445,354,314
2025-10,584,456,362,321
2025-11,592,462,367,326
2025-12,610,476,378,336
2026-01,624,487,387,343
2026-02,637,497,395,350
2026-03,651,508,404,358
2026-04,668,521,414,367
2026-05,679,530,421,373
2026-06,694,541,430,382
2026-07,708,552,439,389
