period,moved_in,moved_out,from_region
2025-08,4120,6580,서울 송파구
2025-08,2480,0,경기 성남시
2025-09,4210,6640,서울 송파구
2025-09,2520,0,경기 성남시
2025-10,4180,6510,서울 송파구
2025-10,2470,0,경기 하남시
2025-11,4090,6620,서울 송파구
2025-11,2610,0,경기 성남시
2025-12,4310,6700,서울 송파구
2025-12,2560,0,경기 성남시
2026-01,4420,6810,서울 송파구
2026-01,2640,0,경기 성남시
2026-02,4250,6590,서울 강동구
2026-02,2530,0,경기 성남시
2026-03,4380,6660,서울 강동구
2026-03,2590,0,경기 하남시
2026-04,4410,6720,서울 송파구
2026-04,2680,0,경기 성남시
2026-05,4340,6650,서울 송파구
2026-05,2570,0,경기 성남시
2026-06,4490,6780,서울 강동구
2026-06,2710,0,경기 성남시
2026-07,4550,6840,서울 송파구
2026-07,2680,0,경기 성남시
